x,y
7.200000000000000000e+02,8.400000000000000000e+02
7.210000000000000000e+02,8.370000000000000000e+02
7.220000000000000000e+02,8.360000000000000000e+02
7.230000000000000000e+02,8.320000000000000000e+02
7.240000000000000000e+02,8.310000000000000000e+02
7.250000000000000000e+02,8.310000000000000000e+02
7.260000000000000000e+02,8.300000000000000000e+02
7.270000000000000000e+02,8.300000000000000000e+02
7.280000000000000000e+02,8.310000000000000000e+02
7.290000000000000000e+02,8.310000000000000000e+02
7.300000000000000000e+02,8.300000000000000000e+02
7.310000000000000000e+02,8.270000000000000000e+02
7.320000000000000000e+02,8.220000000000000000e+02
