x,y
7.210000000000000000e+02,8.680000000000000000e+02
7.210080160320641198e+02,8.679655025898032363e+02
7.210160320641282397e+02,8.679310061177958460e+02
7.210240480961923595e+02,8.678965115221669748e+02
7.210320641282564793e+02,8.678620197411059962e+02
7.210400801603205991e+02,8.678275317128023971e+02
7.210480961923847190e+02,8.677930483754453235e+02
7.210561122244489525e+02,8.677585706672236938e+02
7.210641282565130723e+02,8.677240995263276773e+02
7.210721442885771921e+02,8.676896358909461924e+02
7.210801603206413120e+02,8.676551806992684988e+02
7.210881763527054318e+02,8.676207348894840834e+02
7.210961923847695516e+02,8.675862993997819785e+02
7.211042084168336714e+02,8.675518751683516712e+02
7.211122244488977913e+02,8.675174631333824209e+02
7.211202404809619111e+02,8.674830642330636010e+02
7.211282565130260309e+02,8.674486794055844712e+02
7.211362725450901507e+02,8.674143095891342909e+02
7.211442885771542706e+02,8.673799557219025473e+02
7.211523046092183904e+02,8.673456187420783863e+02
7.211603206412825102e+02,8.673112995878511811e+02
7.211683366733467437e+02,8.672769991974098502e+02
7.211763527054108636e+02,8.672427185089445629e+02
7.211843687374749834e+02,8.672084584606442377e+02
7.211923847695391032e+02,8.671742199906980204e+02
7.212004008016032230e+02,8.671400040372952844e+02
7.212084168336673429e+02,8.671058115386254030e+02
7.212164328657314627e+02,8.670716434328777495e+02
7.212244488977955825e+02,8.670375006582415836e+02
7.212324649298597024e+02,8.670033841529061647e+02
7.212404809619238222e+02,8.669692948550607525e+02
7.212484969939879420e+02,8.669352337028949478e+02
7.212565130260520618e+02,8.669012016345977827e+02
7.212645290581161817e+02,8.668671995883586305e+02
7.212725450901804152e+02,8.668332285023664099e+02
7.212805611222445350e+02,8.667992893148111762e+02
7.212885771543086548e+02,8.667653829638820753e+02
7.212965931863727747e+02,8.667315103877681395e+02
7.213046092184368945e+02,8.666976725246589695e+02
7.213126252505010143e+02,8.666638703127435974e+02
7.213206412825651341e+02,8.666301046902115104e+02
7.213286573146292540e+02,8.665963765952519680e+02
7.213366733466933738e+02,8.665626869660543434e+02
7.213446893787574936e+02,8.665290367408077827e+02
7.213527054108216134e+02,8.664954268577017729e+02
7.213607214428857333e+02,8.664618582549255734e+02
7.213687374749498531e+02,8.664283318706684440e+02
7.213767535070139729e+02,8.663948486431197580e+02
7.213847695390782064e+02,8.663614095104683201e+02
7.213927855711423263e+02,8.663280154109044133e+02
7.214008016032064461e+02,8.662946672826169561e+02
7.214088176352705659e+02,8.662613660637950943e+02
7.214168336673346857e+02,8.662281126926283150e+02
7.214248496993988056e+02,8.661949081073057641e+02
7.214328657314629254e+02,8.661617532460168150e+02
7.214408817635270452e+02,8.661286490469509545e+02
7.214488977955911650e+02,8.660955964482972149e+02
7.214569138276552849e+02,8.660625963882450833e+02
7.214649298597194047e+02,8.660296498049838192e+02
7.214729458917835245e+02,8.659967576367027959e+02
7.214809619238476444e+02,8.659639208215912731e+02
7.214889779559118779e+02,8.659311402978380556e+02
7.214969939879759977e+02,8.658984170036335399e+02
7.215050100200401175e+02,8.658657518771663035e+02
7.215130260521042374e+02,8.658331458566259471e+02
7.215210420841683572e+02,8.658005998802016165e+02
7.215290581162324770e+02,8.657681148860826852e+02
7.215370741482965968e+02,8.657356918124585263e+02
7.215450901803607167e+02,8.657033315975183996e+02
7.215531062124248365e+02,8.656710351794514509e+02
7.215611222444889563e+02,8.656388034964472808e+02
7.215691382765530761e+02,8.656066374866950355e+02
7.215771543086171960e+02,8.655745380883839744e+02
7.215851703406813158e+02,8.655425062397034708e+02
7.215931863727454356e+02,8.655105428788431254e+02
7.216012024048096691e+02,8.654786489439912884e+02
7.216092184368737890e+02,8.654468253733385836e+02
7.216172344689379088e+02,8.654150731050735885e+02
7.216252505010020286e+02,8.653833930773859038e+02
