x,y
4.040000000000000000e+02,3.620000000000000000e+02
4.050000000000000000e+02,3.630000000000000000e+02
4.060000000000000000e+02,3.640000000000000000e+02
4.070000000000000000e+02,3.640000000000000000e+02
4.080000000000000000e+02,3.640000000000000000e+02
4.090000000000000000e+02,3.640000000000000000e+02
4.100000000000000000e+02,3.640000000000000000e+02
4.110000000000000000e+02,3.640000000000000000e+02
4.120000000000000000e+02,3.640000000000000000e+02
4.130000000000000000e+02,3.650000000000000000e+02
4.140000000000000000e+02,3.650000000000000000e+02
4.150000000000000000e+02,3.660000000000000000e+02
4.160000000000000000e+02,3.670000000000000000e+02
