x_left,x_right,a,b,c,d
8.680000000000000000e+02,8.690000000000000000e+02,7.210000000000000000e+02,2.425476268642505342e-13,0.000000000000000000e+00,-2.425476268642505342e-13
8.690000000000000000e+02,8.700000000000000000e+02,7.210000000000000000e+02,-4.850952537285010685e-13,-7.276428805927516532e-13,1.212738134321252621e-12
8.700000000000000000e+02,8.710000000000000000e+02,7.210000000000000000e+02,1.697833388049753992e-12,2.910571522371006613e-12,-4.608404910420760807e-12
8.710000000000000000e+02,8.720000000000000000e+02,7.210000000000000000e+02,-6.306238298470515001e-12,-1.091464320889127500e-11,1.722088150736178919e-11
8.720000000000000000e+02,8.730000000000000000e+02,7.210000000000000000e+02,2.352711980583230500e-11,4.074800131319409420e-11,-6.427512111902639597e-11
8.730000000000000000e+02,8.740000000000000000e+02,7.210000000000000000e+02,-8.780224092485871066e-11,-1.520773620438851066e-10,2.398796029687438044e-10
8.740000000000000000e+02,8.750000000000000000e+02,7.210000000000000000e+02,3.276818438936025538e-10,5.675614468623463582e-10,-8.952432907559489637e-10
8.750000000000000000e+02,8.760000000000000000e+02,7.210000000000000000e+02,-1.222925134649551052e-09,-2.118168425405500326e-09,3.341093560055051171e-09
8.760000000000000000e+02,8.770000000000000000e+02,7.210000000000000000e+02,4.564018694704602844e-09,7.905112254759654016e-09,-1.246913094946425686e-08
8.770000000000000000e+02,8.780000000000000000e+02,7.210000000000000000e+02,-1.703314964416885970e-08,-2.950228059363311656e-08,4.653543023780197627e-08
8.780000000000000000e+02,8.790000000000000000e+02,7.210000000000000000e+02,6.356857988197084590e-08,1.101040101197728155e-07,-1.736725900017436614e-07
8.790000000000000000e+02,8.800000000000000000e+02,7.210000000000000000e+02,-2.372411698837145338e-07,-4.109137598854581688e-07,6.481549297691727026e-07
8.800000000000000000e+02,8.810000000000000000e+02,7.210000000000000000e+02,8.853960996528873423e-07,1.533551029422059939e-06,-2.418947129074947175e-06
8.810000000000000000e+02,8.820000000000000000e+02,7.210000000000000000e+02,-3.304343228727834624e-06,-5.723290357802781799e-06,9.027633586530617270e-06
8.820000000000000000e+02,8.830000000000000000e+02,7.210000000000000000e+02,1.233197681525845020e-05,2.135961040178906747e-05,-3.369158721704752275e-05
8.830000000000000000e+02,8.840000000000000000e+02,7.210000000000000000e+02,-4.602356403230595770e-05,-7.971515124935348723e-05,1.257387152816594449e-04
8.840000000000000000e+02,8.850000000000000000e+02,7.210000000000000000e+02,1.717622793139654026e-04,2.975009945956248476e-04,-4.692632739095902502e-04
8.850000000000000000e+02,8.860000000000000000e+02,7.210000000000000000e+02,-6.410255532235557612e-04,-1.110288827133145903e-03,1.751314380356701556e-03
8.860000000000000000e+02,8.870000000000000000e+02,7.210000000000000000e+02,2.392339933580257209e-03,4.143654313936958981e-03,-6.535994247517215756e-03
8.870000000000000000e+02,8.880000000000000000e+02,7.210000000000000000e+02,-8.928334181097471664e-03,-1.546432842861469002e-02,2.439266260971216169e-02
8.880000000000000000e+02,8.890000000000000000e+02,7.210000000000000000e+02,3.332099679080963162e-02,5.771365940052179677e-02,-9.103465619133142839e-02
8.890000000000000000e+02,8.900000000000000000e+02,7.210000000000000000e+02,-1.243556529821410322e-01,-2.153903091734724884e-01,3.397459621556135345e-01
8.900000000000000000e+02,8.910000000000000000e+02,7.210000000000000000e+02,4.641016151377546084e-01,8.038475772933680874e-01,-2.679491924311226958e-01
