x_left,x_right,a,b,c,d
7.140000000000000000e+02,7.150000000000000000e+02,5.010000000000000000e+02,9.036848287254909406e-01,0.000000000000000000e+00,9.631517127450904547e-02
7.150000000000000000e+02,7.160000000000000000e+02,5.020000000000000000e+02,1.192630342549018119e+00,2.889455138235271225e-01,-4.815758563725451857e-01
7.160000000000000000e+02,7.170000000000000000e+02,5.030000000000000000e+02,3.257938010784367511e-01,-1.155782055294108490e+00,8.299882542156717946e-01
7.170000000000000000e+02,7.180000000000000000e+02,5.030000000000000000e+02,5.041944531372350990e-01,1.334182707352906672e+00,-8.383771604901418817e-01
7.180000000000000000e+02,7.190000000000000000e+02,5.040000000000000000e+02,6.574283863726227972e-01,-1.180948774117518862e+00,5.235203877448960652e-01
7.190000000000000000e+02,7.200000000000000000e+02,5.040000000000000000e+02,-1.339079986277268153e-01,3.896123891171693887e-01,-2.557043904894425457e-01
7.200000000000000000e+02,7.210000000000000000e+02,5.040000000000000000e+02,-1.217963918617157582e-01,-3.775007823511583593e-01,4.992971742128740620e-01
7.210000000000000000e+02,7.220000000000000000e+02,5.040000000000000000e+02,6.210935660745899867e-01,1.120390740287463993e+00,-7.414843063620538688e-01
7.220000000000000000e+02,7.230000000000000000e+02,5.050000000000000000e+02,6.374221275633562556e-01,-1.104062178798697724e+00,4.666400512353414132e-01
7.230000000000000000e+02,7.240000000000000000e+02,5.050000000000000000e+02,-1.707820763280147869e-01,2.958579749073265708e-01,-1.250758985793117839e-01
7.240000000000000000e+02,7.250000000000000000e+02,5.050000000000000000e+02,4.570617774870300992e-02,-7.936972083060876704e-02,3.366354308190575712e-02
7.250000000000000000e+02,7.260000000000000000e+02,5.050000000000000000e+02,-1.204263466679725281e-02,2.162090841510849390e-02,-9.578273748311239358e-03
7.260000000000000000e+02,7.270000000000000000e+02,5.050000000000000000e+02,2.464360918486013449e-03,-7.113912829825225909e-03,4.649551911339212459e-03
7.270000000000000000e+02,7.280000000000000000e+02,5.050000000000000000e+02,2.185190992853199010e-03,6.834742904192411470e-03,-9.019933897045610480e-03
7.280000000000000000e+02,7.290000000000000000e+02,5.050000000000000000e+02,-1.120512488989881122e-02,-2.022505878694441997e-02,3.143018367684322772e-02
7.290000000000000000e+02,7.300000000000000000e+02,5.050000000000000000e+02,4.263530856674204589e-02,7.406549224358527361e-02,-1.167008008103273126e-01
7.300000000000000000e+02,7.310000000000000000e+02,5.050000000000000000e+02,-1.593361093770693515e-01,-2.760369101873966780e-01,4.353730195644660572e-01
7.310000000000000000e+02,7.320000000000000000e+02,5.050000000000000000e+02,5.947091289415353810e-01,1.030082148506001438e+00,-6.247912774475367081e-01
7.320000000000000000e+02,7.330000000000000000e+02,5.060000000000000000e+02,7.804995936109279109e-01,-8.442916838366086862e-01,6.379209022568077536e-02
7.330000000000000000e+02,7.340000000000000000e+02,5.060000000000000000e+02,-7.167075033852471355e-01,-6.529154131595663602e-01,1.369622916544813718e+00
7.340000000000000000e+02,7.350000000000000000e+02,5.060000000000000000e+02,2.086330419930060742e+00,3.455953336474874238e+00,-5.422837564049350911e-01
7.350000000000000000e+02,7.360000000000000000e+02,5.110000000000000000e+02,7.371385823665003834e+00,1.829102067260069076e+00,2.799512109074926869e+00
7.360000000000000000e+02,7.370000000000000000e+02,5.230000000000000000e+02,1.942812628540992392e+01,1.022763839448484902e+01,-8.655764679894771163e+00
7.370000000000000000e+02,7.380000000000000000e+02,5.440000000000000000e+02,1.391610903469530669e+01,-1.573965564519946625e+01,5.823546610504159560e+00
7.380000000000000000e+02,7.390000000000000000e+02,5.480000000000000000e+02,-9.256242419114601994e-02,1.730984186313013540e+00,-6.384217621218676308e-01
7.390000000000000000e+02,7.400000000000000000e+02,5.490000000000000000e+02,1.454140662069278278e+00,-1.842811000525893528e-01,-2.698595620166889253e-01
7.400000000000000000e+02,7.410000000000000000e+02,5.500000000000000000e+02,2.759997759140328522e-01,-9.938597861026561286e-01,7.178600101886232210e-01
7.410000000000000000e+02,7.420000000000000000e+02,5.500000000000000000e+02,4.418602342745904243e-01,1.159720244463213756e+00,-6.015804787378041807e-01
7.420000000000000000e+02,7.430000000000000000e+02,5.510000000000000000e+02,9.565592869876055060e-01,-6.450211917501985637e-01,6.884619047625930577e-01
7.430000000000000000e+02,7.440000000000000000e+02,5.520000000000000000e+02,1.731902617774987441e+00,1.420364522537580720e+00,-1.522671403125682443e-01
7.440000000000000000e+02,7.450000000000000000e+02,5.550000000000000000e+02,4.115830241912444620e+00,9.635631015998760152e-01,-1.079393343512320191e+00
7.450000000000000000e+02,7.460000000000000000e+02,5.590000000000000000e+02,2.804776414575235854e+00,-2.274616928937084559e+00,1.469840514361848705e+00
7.460000000000000000e+02,7.470000000000000000e+02,5.610000000000000000e+02,2.665064099786612850e+00,2.134904614148461111e+00,-7.999687139350736276e-01
7.470000000000000000e+02,7.480000000000000000e+02,5.650000000000000000e+02,4.534967186278313633e+00,-2.650015276567597167e-01,-2.699656586215541942e-01
7.480000000000000000e+02,7.490000000000000000e+02,5.690000000000000000e+02,3.195067155100131728e+00,-1.074898503521422244e+00,8.798313484212902935e-01
7.490000000000000000e+02,7.500000000000000000e+02,5.720000000000000000e+02,3.684764193321158565e+00,1.564595541742448859e+00,-1.249359735063607424e+00
7.500000000000000000e+02,7.510000000000000000e+02,5.760000000000000000e+02,3.065876071615234011e+00,-2.183483663448373413e+00,1.117607591833139402e+00
7.510000000000000000e+02,7.520000000000000000e+02,5.780000000000000000e+02,2.051731520217905391e+00,1.169339112051045015e+00,-2.210706322689505177e-01
7.520000000000000000e+02,7.530000000000000000e+02,5.810000000000000000e+02,3.727197847513143980e+00,5.061272152441934624e-01,-2.333250627573374703e-01
7.530000000000000000e+02,7.540000000000000000e+02,5.850000000000000000e+02,4.039477089729518688e+00,-1.938479730278189206e-01,1.543708832983003709e-01
7.540000000000000000e+02,7.550000000000000000e+02,5.890000000000000000e+02,4.114893793568781710e+00,2.692646768670822199e-01,-3.841584704358639857e-01
7.550000000000000000e+02,7.560000000000000000e+02,5.930000000000000000e+02,3.500947735995354027e+00,-8.832107344405097926e-01,3.822629984451555996e-01
7.560000000000000000e+02,7.570000000000000000e+02,5.960000000000000000e+02,2.881315262449801295e+00,2.635782608949570616e-01,-1.448935233447585513e-01
7.570000000000000000e+02,7.580000000000000000e+02,5.990000000000000000e+02,2.973791214205439903e+00,-1.711023091393186202e-01,1.973110949338786890e-01
7.580000000000000000e+02,7.590000000000000000e+02,6.020000000000000000e+02,3.223519880728438647e+00,4.208309756623174192e-01,3.556491436092437675e-01
7.590000000000000000e+02,7.600000000000000000e+02,6.060000000000000000e+02,5.132129262880805065e+00,1.487778406490048777e+00,-1.619907669370853620e+00
7.600000000000000000e+02,7.610000000000000000e+02,6.110000000000000000e+02,3.247963067748341537e+00,-3.371944601622512305e+00,1.123981533874170768e+00
