x_left,x_right,a,b,c,d
4.500000000000000000e+02,4.510000000000000000e+02,4.790000000000000000e+02,9.090909090909090606e-01,0.000000000000000000e+00,9.090909090909089774e-02
4.510000000000000000e+02,4.520000000000000000e+02,4.800000000000000000e+02,1.181818181818181879e+00,2.727272727272727071e-01,-4.545454545454545303e-01
4.520000000000000000e+02,4.530000000000000000e+02,4.810000000000000000e+02,3.636363636363635909e-01,-1.090909090909090828e+00,7.272727272727271819e-01
4.530000000000000000e+02,4.540000000000000000e+02,4.810000000000000000e+02,3.636363636363636465e-01,1.090909090909090828e+00,-4.545454545454545303e-01
4.540000000000000000e+02,4.550000000000000000e+02,4.820000000000000000e+02,1.181818181818181879e+00,-2.727272727272727071e-01,9.090909090909089774e-02
