x,y
3.290000000000000000e+02,6.830000000000000000e+02
3.290316344463971632e+02,6.829282785248304890e+02
3.290632688927943832e+02,6.828566078534344115e+02
3.290949033391915464e+02,6.827850387895856556e+02
3.291265377855887664e+02,6.827136221370578824e+02
3.291581722319859296e+02,6.826424086996246388e+02
3.291898066783831496e+02,6.825714492810596994e+02
3.292214411247803127e+02,6.825007946851368388e+02
3.292530755711775328e+02,6.824304957156291493e+02
3.292847100175746959e+02,6.823606031763109740e+02
3.293163444639718591e+02,6.822911678709555190e+02
3.293479789103690791e+02,6.822222406033364450e+02
3.293796133567662423e+02,6.821538721772276403e+02
3.294112478031634623e+02,6.820861133964025385e+02
3.294428822495606255e+02,6.820190150646349139e+02
3.294745166959578455e+02,6.819526279856983138e+02
3.295061511423550087e+02,6.818870029633665126e+02
3.295377855887521719e+02,6.818221908014131714e+02
3.295694200351493919e+02,6.817582423036116097e+02
3.296010544815465551e+02,6.816952082737359433e+02
3.296326889279437751e+02,6.816331395155593782e+02
3.296643233743409382e+02,6.815720868328560300e+02
3.296959578207381583e+02,6.815121010293989912e+02
3.297275922671353214e+02,6.814532329089624909e+02
3.297592267135325415e+02,6.813955332753198491e+02
3.297908611599297046e+02,6.813390529322447264e+02
3.298224956063268678e+02,6.812838426835108976e+02
3.298541300527240878e+02,6.812299533328916823e+02
3.298857644991212510e+02,6.811774356841611961e+02
3.299173989455184710e+02,6.811263405410928726e+02
3.299490333919156342e+02,6.810767187074602589e+02
3.299806678383128542e+02,6.810286209870371295e+02
3.300123022847100174e+02,6.809820970575564161e+02
3.300439367311071805e+02,6.809371498053283176e+02
3.300755711775044006e+02,6.808937195278409718e+02
3.301072056239015637e+02,6.808517421530198135e+02
3.301388400702987838e+02,6.808111536087900504e+02
3.301704745166959469e+02,6.807718898230766627e+02
3.302021089630931669e+02,6.807338867238050852e+02
3.302337434094903301e+02,6.806970802389006394e+02
3.302653778558875501e+02,6.806614062962883054e+02
3.302970123022847133e+02,6.806268008238932907e+02
3.303286467486818765e+02,6.805931997496410304e+02
3.303602811950790965e+02,6.805605390014565046e+02
3.303919156414762597e+02,6.805287545072651483e+02
3.304235500878734797e+02,6.804977821949919417e+02
3.304551845342706429e+02,6.804675579925622060e+02
3.304868189806678629e+02,6.804380178279011488e+02
3.305184534270650261e+02,6.804090976289339778e+02
3.305500878734621892e+02,6.803807333235859005e+02
3.305817223198594093e+02,6.803528608397822381e+02
3.306133567662565724e+02,6.803254161054480846e+02
3.306449912126537924e+02,6.802983350485086476e+02
3.306766256590509556e+02,6.802715535968892482e+02
3.307082601054481756e+02,6.802450076785148667e+02
3.307398945518453388e+02,6.802186332213111655e+02
3.307715289982425588e+02,6.801923661532027836e+02
3.308031634446397220e+02,6.801661424021154971e+02
3.308347978910368852e+02,6.801398978959741726e+02
3.308664323374341052e+02,6.801135685627039038e+02
3.308980667838312684e+02,6.800870903302302395e+02
3.309297012302284884e+02,6.800603991264782735e+02
3.309613356766256516e+02,6.800334308793730997e+02
3.309929701230228716e+02,6.800061215168401532e+02
3.310246045694200347e+02,6.799784132096402800e+02
3.310562390158171979e+02,6.799502977072071417e+02
3.310878734622144179e+02,6.799217904016671810e+02
3.311195079086115811e+02,6.798929068307523949e+02
3.311511423550088011e+02,6.798636625321950078e+02
3.311827768014059643e+02,6.798340730437270167e+02
3.312144112478031843e+02,6.798041539030801914e+02
3.312460456942003475e+02,6.797739206479868699e+02
3.312776801405975675e+02,6.797433888161790492e+02
3.313093145869947307e+02,6.797125739453887263e+02
3.313409490333918939e+02,6.796814915733480120e+02
3.313725834797891139e+02,6.796501572377887896e+02
3.314042179261862771e+02,6.796185864764431699e+02
3.314358523725834971e+02,6.795867948270432635e+02
3.314674868189806602e+02,6.795547978273209537e+02
3.314991212653778803e+02,6.795226110150085788e+02
