x,y
3.930000000000000000e+02,7.000000000000000000e+02
3.930080160320641198e+02,7.000160320641282397e+02
3.930160320641282397e+02,7.000320641282564793e+02
3.930240480961923595e+02,7.000480961923847190e+02
3.930320641282565930e+02,7.000641282565130723e+02
3.930400801603205991e+02,7.000801603206413120e+02
3.930480961923848326e+02,7.000961923847695516e+02
3.930561122244488388e+02,7.001122244488977913e+02
3.930641282565130723e+02,7.001282565130260309e+02
3.930721442885770784e+02,7.001442885771542706e+02
3.930801603206413120e+02,7.001603206412825102e+02
3.930881763527054318e+02,7.001763527054108636e+02
3.930961923847695516e+02,7.001923847695391032e+02
3.931042084168336714e+02,7.002084168336673429e+02
3.931122244488977913e+02,7.002244488977955825e+02
3.931202404809619111e+02,7.002404809619238222e+02
3.931282565130260309e+02,7.002565130260520618e+02
3.931362725450902644e+02,7.002725450901804152e+02
3.931442885771542706e+02,7.002885771543086548e+02
3.931523046092185041e+02,7.003046092184368945e+02
3.931603206412825102e+02,7.003206412825651341e+02
3.931683366733467437e+02,7.003366733466933738e+02
3.931763527054107499e+02,7.003527054108216134e+02
3.931843687374749834e+02,7.003687374749498531e+02
3.931923847695391032e+02,7.003847695390782064e+02
3.932004008016032230e+02,7.004008016032064461e+02
3.932084168336673429e+02,7.004168336673346857e+02
3.932164328657314627e+02,7.004328657314629254e+02
3.932244488977955825e+02,7.004488977955911650e+02
3.932324649298597024e+02,7.004649298597194047e+02
3.932404809619238222e+02,7.004809619238476444e+02
3.932484969939879420e+02,7.004969939879759977e+02
3.932565130260521755e+02,7.005130260521042374e+02
3.932645290581161817e+02,7.005290581162324770e+02
3.932725450901804152e+02,7.005450901803607167e+02
3.932805611222444213e+02,7.005611222444889563e+02
3.932885771543086548e+02,7.005771543086171960e+02
3.932965931863726610e+02,7.005931863727454356e+02
3.933046092184368945e+02,7.006092184368737890e+02
3.933126252505010143e+02,7.006252505010020286e+02
3.933206412825651341e+02,7.006412825651302683e+02
3.933286573146292540e+02,7.006573146292585079e+02
3.933366733466933738e+02,7.006733466933867476e+02
3.933446893787574936e+02,7.006893787575149872e+02
3.933527054108216134e+02,7.007054108216433406e+02
3.933607214428858470e+02,7.007214428857715802e+02
3.933687374749498531e+02,7.007374749498998199e+02
3.933767535070140866e+02,7.007535070140280595e+02
3.933847695390780927e+02,7.007695390781562992e+02
3.933927855711423263e+02,7.007855711422845388e+02
3.934008016032063324e+02,7.008016032064127785e+02
3.934088176352705659e+02,7.008176352705411318e+02
3.934168336673346857e+02,7.008336673346693715e+02
3.934248496993988056e+02,7.008496993987976111e+02
3.934328657314629254e+02,7.008657314629258508e+02
3.934408817635270452e+02,7.008817635270540904e+02
3.934488977955911650e+02,7.008977955911823301e+02
3.934569138276552849e+02,7.009138276553105698e+02
3.934649298597195184e+02,7.009298597194389231e+02
3.934729458917835245e+02,7.009458917835671627e+02
3.934809619238477580e+02,7.009619238476954024e+02
3.934889779559117642e+02,7.009779559118236421e+02
3.934969939879759977e+02,7.009939879759518817e+02
3.935050100200400038e+02,7.010100200400801214e+02
3.935130260521042374e+02,7.010260521042083610e+02
3.935210420841683572e+02,7.010420841683367144e+02
3.935290581162324770e+02,7.010581162324649540e+02
3.935370741482965968e+02,7.010741482965931937e+02
3.935450901803607167e+02,7.010901803607214333e+02
3.935531062124248365e+02,7.011062124248496730e+02
3.935611222444889563e+02,7.011222444889779126e+02
3.935691382765531898e+02,7.011382765531062660e+02
3.935771543086171960e+02,7.011543086172345056e+02
3.935851703406814295e+02,7.011703406813627453e+02
3.935931863727454356e+02,7.011863727454909849e+02
3.936012024048096691e+02,7.012024048096192246e+02
3.936092184368736753e+02,7.012184368737474642e+02
3.936172344689379088e+02,7.012344689378757039e+02
3.936252505010020286e+02,7.012505010020040572e+02
3.936332665330661484e+02,7.012665330661322969e+02
3.936412825651302683e+02,7.012825651302605365e+02
3.936492985971943881e+02,7.012985971943887762e+02
3.936573146292585079e+02,7.013146292585170158e+02
3.936653306613226277e+02,7.013306613226452555e+02
3.936733466933867476e+02,7.013466933867734951e+02
3.936813627254508674e+02,7.013627254509018485e+02
3.936893787575151009e+02,7.013787575150300881e+02
3.936973947895791639e+02,7.013947895791583278e+02
3.937054108216432837e+02,7.014108216432865675e+02
3.937134268537074036e+02,7.014268537074148071e+02
3.937214428857715234e+02,7.014428857715430468e+02
3.937294589178356432e+02,7.014589178356712864e+02
3.937374749498998199e+02,7.014749498997996398e+02
3.937454909819639397e+02,7.014909819639278794e+02
3.937535070140280595e+02,7.015070140280561191e+02
3.937615230460921794e+02,7.015230460921843587e+02
3.937695390781562992e+02,7.015390781563125984e+02
3.937775551102204190e+02,7.015551102204408380e+02
3.937855711422845957e+02,7.015711422845691914e+02
3.937935871743487155e+02,7.015871743486974310e+02
3.938016032064128353e+02,7.016032064128256707e+02
3.938096192384769552e+02,7.016192384769539103e+02
3.938176352705410750e+02,7.016352705410821500e+02
3.938256513026051948e+02,7.016513026052103896e+02
3.938336673346693146e+02,7.016673346693386293e+02
3.938416833667334913e+02,7.016833667334669826e+02
3.938496993987976111e+02,7.016993987975952223e+02
3.938577154308617310e+02,7.017154308617234619e+02
3.938657314629258508e+02,7.017314629258517016e+02
3.938737474949899706e+02,7.017474949899799412e+02
3.938817635270540904e+02,7.017635270541081809e+02
3.938897795591182103e+02,7.017795591182364205e+02
3.938977955911823869e+02,7.017955911823647739e+02
3.939058116232465068e+02,7.018116232464930135e+02
3.939138276553106266e+02,7.018276553106212532e+02
3.939218436873747464e+02,7.018436873747494928e+02
3.939298597194388663e+02,7.018597194388777325e+02
