x,y
3.570000000000000000e+02,7.690000000000000000e+02
3.570325467860049002e+02,7.689264149112530049e+02
3.570650935720097436e+02,7.688528838497763900e+02
3.570976403580146439e+02,7.687794608428406491e+02
3.571301871440195441e+02,7.687061999177159350e+02
3.571627339300243875e+02,7.686331551016728554e+02
3.571952807160292878e+02,7.685603804219816766e+02
3.572278275020341880e+02,7.684879299059127788e+02
3.572603742880390314e+02,7.684158575807367697e+02
3.572929210740439316e+02,7.683442174737235746e+02
3.573254678600488319e+02,7.682730636121439147e+02
3.573580146460536753e+02,7.682024500232682840e+02
3.573905614320585755e+02,7.681324307343668352e+02
3.574231082180634758e+02,7.680630597727099484e+02
3.574556550040683760e+02,7.679943911655680040e+02
3.574882017900732194e+02,7.679264789402118367e+02
3.575207485760781196e+02,7.678593771239111447e+02
3.575532953620830199e+02,7.677931397439367629e+02
3.575858421480878633e+02,7.677278208275589577e+02
3.576183889340927635e+02,7.676634744020479957e+02
3.576509357200976638e+02,7.676001544946743707e+02
3.576834825061025072e+02,7.675379151327086902e+02
3.577160292921074074e+02,7.674768103434209934e+02
3.577485760781123076e+02,7.674168941540817741e+02
3.577811228641171510e+02,7.673582205919615262e+02
3.578136696501220513e+02,7.673008436843305162e+02
3.578462164361269515e+02,7.672448174584591243e+02
3.578787632221317949e+02,7.671901959416178443e+02
3.579113100081366952e+02,7.671370331610769426e+02
3.579438567941415954e+02,7.670853831441067996e+02
3.579764035801464388e+02,7.670352999179781364e+02
3.580089503661513390e+02,7.669868371033677477e+02
3.580414971521562393e+02,7.669400094251836890e+02
3.580740439381610827e+02,7.668947610569597373e+02
3.581065907241659829e+02,7.668510287218942949e+02
3.581391375101708832e+02,7.668087491431851959e+02
3.581716842961757266e+02,7.667678590440306152e+02
3.582042310821806268e+02,7.667282951476289554e+02
3.582367778681855270e+02,7.666899941771780504e+02
3.582693246541904273e+02,7.666528928558760754e+02
3.583018714401952707e+02,7.666169279069214326e+02
3.583344182262001709e+02,7.665820360535117288e+02
3.583669650122050712e+02,7.665481540188454801e+02
3.583995117982099146e+02,7.665152185261208615e+02
3.584320585842148148e+02,7.664831662985355933e+02
3.584646053702197150e+02,7.664519340592881917e+02
3.584971521562245584e+02,7.664214585315766044e+02
3.585296989422294587e+02,7.663916764385990064e+02
3.585622457282343589e+02,7.663625245035534590e+02
3.585947925142392023e+02,7.663339394496381374e+02
3.586273393002441026e+02,7.663058580000511029e+02
3.586598860862490028e+02,7.662782168779906442e+02
3.586924328722538462e+02,7.662509528066545954e+02
3.587249796582587464e+02,7.662240025092414726e+02
3.587575264442636467e+02,7.661973027089489960e+02
3.587900732302684901e+02,7.661707901289755682e+02
3.588226200162733903e+02,7.661444014925192505e+02
3.588551668022782906e+02,7.661180735227781042e+02
3.588877135882831340e+02,7.660917429429504182e+02
3.589202603742880342e+02,7.660653464762340263e+02
3.589528071602929344e+02,7.660388208458272175e+02
3.589853539462977778e+02,7.660121027749281666e+02
3.590179007323026781e+02,7.659851305256255500e+02
3.590504475183075783e+02,7.659578706485444854e+02
3.590829943043124217e+02,7.659303145212084019e+02
3.591155410903173220e+02,7.659024543640042566e+02
3.591480878763222222e+02,7.658742823973191207e+02
3.591806346623271224e+02,7.658457908415401789e+02
3.592131814483319658e+02,7.658169719170545022e+02
3.592457282343368661e+02,7.657878178442489343e+02
3.592782750203417663e+02,7.657583208435106599e+02
3.593108218063466097e+02,7.657284731352267499e+02
3.593433685923515100e+02,7.656982669397841619e+02
3.593759153783564102e+02,7.656676944775701941e+02
3.594084621643612536e+02,7.656367479689718039e+02
3.594410089503661538e+02,7.656054196343759486e+02
3.594735557363710541e+02,7.655737016941698130e+02
3.595061025223758975e+02,7.655415863687403544e+02
3.595386493083807977e+02,7.655090658784746438e+02
3.595711960943856980e+02,7.654761324437597523e+02
3.596037428803905414e+02,7.654427782849829782e+02
3.596362896663954416e+02,7.654089956225311653e+02
3.596688364524003418e+02,7.653747766767911571e+02
3.597013832384051852e+02,7.653401136681503658e+02
3.597339300244100855e+02,7.653049988169958624e+02
3.597664768104149857e+02,7.652694243437143768e+02
3.597990235964198291e+02,7.652333824686933212e+02
3.598315703824247294e+02,7.651968654123195392e+02
3.598641171684296296e+02,7.651598653949801019e+02
3.598966639544344730e+02,7.651223746370623076e+02
3.599292107404393732e+02,7.650843853589529999e+02
3.599617575264442735e+02,7.650458897810392500e+02
3.599943043124491737e+02,7.650068801237081288e+02
3.600268510984540171e+02,7.649673581694773929e+02
3.600593978844589174e+02,7.649273909621340408e+02
3.600919446704638176e+02,7.648870728056657526e+02
3.601244914564686610e+02,7.648464980953267514e+02
3.601570382424735612e+02,7.648057612263702367e+02
3.601895850284784615e+02,7.647649565940498633e+02
3.602221318144833049e+02,7.647241785936192855e+02
3.602546786004882051e+02,7.646835216203323853e+02
3.602872253864931054e+02,7.646430800694424761e+02
3.603197721724979488e+02,7.646029483362030987e+02
3.603523189585028490e+02,7.645632208158683625e+02
3.603848657445077492e+02,7.645239919036914671e+02
3.604174125305125926e+02,7.644853559949262944e+02
3.604499593165174929e+02,7.644474074848262717e+02
3.604825061025223931e+02,7.644102407686451670e+02
3.605150528885272365e+02,7.643739502416365212e+02
3.605475996745321368e+02,7.643386302990539889e+02
3.605801464605370370e+02,7.643043753361512245e+02
3.606126932465418804e+02,7.642712797481819962e+02
3.606452400325467806e+02,7.642394379303996175e+02
3.606777868185516809e+02,7.642089442780579702e+02
3.607103336045565243e+02,7.641798931864105953e+02
3.607428803905614245e+02,7.641523790507111471e+02
3.607754271765663248e+02,7.641264962662130529e+02
3.608079739625711682e+02,7.641023392281703082e+02
3.608405207485760684e+02,7.640800023318363401e+02
3.608730675345809686e+02,7.640595799724648032e+02
3.609056143205858689e+02,7.640411665453091246e+02
3.609381611065907123e+02,7.640248564456232998e+02
3.609707078925956125e+02,7.640107440686607561e+02
3.610032546786005128e+02,7.639989237667857651e+02
3.610358014646053562e+02,7.639894329779723421e+02
3.610683482506102564e+02,7.639821400268274374e+02
3.611008950366151566e+02,7.639768819714995516e+02
3.611334418226200000e+02,7.639734958701372989e+02
3.611659886086249003e+02,7.639718187808889525e+02
3.611985353946298005e+02,7.639716877619028992e+02
3.612310821806346439e+02,7.639729398713279807e+02
3.612636289666395442e+02,7.639754121673124700e+02
3.612961757526444444e+02,7.639789417080046405e+02
3.613287225386492878e+02,7.639833655515532200e+02
3.613612693246541880e+02,7.639885207561067091e+02
3.613938161106590883e+02,7.639942443798136082e+02
3.614263628966639317e+02,7.640003734808221907e+02
3.614589096826688319e+02,7.640067451172810706e+02
3.614914564686737322e+02,7.640131963473387486e+02
3.615240032546785756e+02,7.640195642291437252e+02
3.615565500406834758e+02,7.640256858208442736e+02
3.615890968266883760e+02,7.640313981805890080e+02
3.616216436126932194e+02,7.640365383665264289e+02
3.616541903986981197e+02,7.640409434368050370e+02
3.616867371847030199e+02,7.640444504495733327e+02
3.617192839707079202e+02,7.640468964629798165e+02
3.617518307567127636e+02,7.640481185351727618e+02
3.617843775427176638e+02,7.640479537243006689e+02
3.618169243287225640e+02,7.640462390885123796e+02
3.618494711147274074e+02,7.640428116859559395e+02
3.618820179007323077e+02,7.640375085747800767e+02
3.619145646867372079e+02,7.640301668131331780e+02
3.619471114727420513e+02,7.640206234591637440e+02
3.619796582587469516e+02,7.640087155710202751e+02
3.620122050447518518e+02,7.639942829015329835e+02
3.620447518307566952e+02,7.639772872626361959e+02
3.620772986167615954e+02,7.639578598320034644e+02
3.621098454027664957e+02,7.639361442626874350e+02
3.621423921887713391e+02,7.639122842077402993e+02
3.621749389747762393e+02,7.638864233202142486e+02
3.622074857607811396e+02,7.638587052531617019e+02
3.622400325467859830e+02,7.638292736596351915e+02
3.622725793327908832e+02,7.637982721926869090e+02
3.623051261187957834e+02,7.637658445053691594e+02
3.623376729048006268e+02,7.637321342507343616e+02
3.623702196908055271e+02,7.636972850818347069e+02
3.624027664768104273e+02,7.636614406517228417e+02
3.624353132628152707e+02,7.636247446134509573e+02
3.624678600488201710e+02,7.635873406200712452e+02
3.625004068348250712e+02,7.635493723246361242e+02
3.625329536208299714e+02,7.635109833801980130e+02
3.625655004068348148e+02,7.634723174398093306e+02
3.625980471928397151e+02,7.634335181565220410e+02
3.626305939788446153e+02,7.633947291833890176e+02
3.626631407648494587e+02,7.633560941734622247e+02
3.626956875508543590e+02,7.633177567797940810e+02
3.627282343368592592e+02,7.632798606554370053e+02
3.627607811228641026e+02,7.632425494534433028e+02
3.627933279088690028e+02,7.632059668268652786e+02
3.628258746948739031e+02,7.631702564287552377e+02
3.628584214808787465e+02,7.631355619121657128e+02
3.628909682668836467e+02,7.631020269301488952e+02
3.629235150528885470e+02,7.630697951357569764e+02
3.629560618388933904e+02,7.630390101820426025e+02
3.629886086248982906e+02,7.630098157220579651e+02
3.630211554109031908e+02,7.629823489275081556e+02
3.630537021969080342e+02,7.629566668781103544e+02
3.630862489829129345e+02,7.629327726344878329e+02
3.631187957689178347e+02,7.629106682453825670e+02
3.631513425549226781e+02,7.628903557595371012e+02
3.631838893409275784e+02,7.628718372256935254e+02
3.632164361269324786e+02,7.628551146925942703e+02
3.632489829129373220e+02,7.628401902089815394e+02
3.632815296989422222e+02,7.628270658235976498e+02
3.633140764849471225e+02,7.628157435851845776e+02
3.633466232709519659e+02,7.628062255424848672e+02
3.633791700569568661e+02,7.627985137442407222e+02
