x,y
6.940000000000000000e+02,1.053000000000000000e+03
6.940322209436133107e+02,1.052786279167007706e+03
6.940644418872267352e+02,1.052572685510328029e+03
6.940966628308400459e+02,1.052359346206276314e+03
6.941288837744533566e+02,1.052146388431164951e+03
6.941611047180667811e+02,1.051933939361307011e+03
6.941933256616800918e+02,1.051722126173017386e+03
6.942255466052934025e+02,1.051511076042608693e+03
6.942577675489068270e+02,1.051300916146393774e+03
6.942899884925201377e+02,1.051091773660687522e+03
6.943222094361334484e+02,1.050883775761803236e+03
6.943544303797468729e+02,1.050677049626052849e+03
6.943866513233601836e+02,1.050471722429751935e+03
6.944188722669734943e+02,1.050267921349213111e+03
6.944510932105869188e+02,1.050065773560749221e+03
6.944833141542002295e+02,1.049865406240674929e+03
6.945155350978135402e+02,1.049666946565303306e+03
6.945477560414269647e+02,1.049470521710947196e+03
6.945799769850402754e+02,1.049276258853921263e+03
6.946121979286535861e+02,1.049084285170538578e+03
6.946444188722670106e+02,1.048894727837111759e+03
6.946766398158803213e+02,1.048707714029955696e+03
6.947088607594936320e+02,1.048523370925383233e+03
6.947410817031070565e+02,1.048341825699707442e+03
6.947733026467203672e+02,1.048163205529242759e+03
6.948055235903336779e+02,1.047987637590302256e+03
6.948377445339471024e+02,1.047815249059198777e+03
6.948699654775604131e+02,1.047646167112247213e+03
6.949021864211737238e+02,1.047480518925760180e+03
6.949344073647871483e+02,1.047318431676050750e+03
6.949666283084004590e+02,1.047160032539433587e+03
6.949988492520137697e+02,1.047005448692221535e+03
6.950310701956271942e+02,1.046854753267262367e+03
6.950632911392405049e+02,1.046707778756677271e+03
6.950955120828538156e+02,1.046564290698875539e+03
6.951277330264672401e+02,1.046424054629519560e+03
6.951599539700805508e+02,1.046286836084273773e+03
6.951921749136938615e+02,1.046152400598801023e+03
6.952243958573072860e+02,1.046020513708764383e+03
6.952566168009205967e+02,1.045890940949828064e+03
6.952888377445339074e+02,1.045763447857654910e+03
6.953210586881473318e+02,1.045637799967907995e+03
6.953532796317606426e+02,1.045513762816251528e+03
6.953855005753739533e+02,1.045391101938348584e+03
6.954177215189873777e+02,1.045269582869862006e+03
6.954499424626006885e+02,1.045148971146456006e+03
6.954821634062139992e+02,1.045029032303793429e+03
6.955143843498274236e+02,1.044909531877537574e+03
6.955466052934407344e+02,1.044790235403352426e+03
6.955788262370540451e+02,1.044670908416901057e+03
6.956110471806674695e+02,1.044551316453846084e+03
6.956432681242807803e+02,1.044431225049852173e+03
6.956754890678940910e+02,1.044310399740582170e+03
6.957077100115075154e+02,1.044188606061698920e+03
6.957399309551208262e+02,1.044065609548866632e+03
6.957721518987341369e+02,1.043941175737748608e+03
6.958043728423475613e+02,1.043815070164007238e+03
6.958365937859608721e+02,1.043687058363307187e+03
6.958688147295741828e+02,1.043556905871311528e+03
6.959010356731876072e+02,1.043424378223682652e+03
6.959332566168009180e+02,1.043289240956085223e+03
6.959654775604142287e+02,1.043151259604182314e+03
6.959976985040276531e+02,1.043010199703636317e+03
6.960299194476409639e+02,1.042865885907816846e+03
6.960621403912542746e+02,1.042718436036861931e+03
6.960943613348676990e+02,1.042568058619048770e+03
6.961265822784810098e+02,1.042414962209565601e+03
6.961588032220943205e+02,1.042259355363598161e+03
6.961910241657077449e+02,1.042101446636332639e+03
6.962232451093210557e+02,1.041941444582956365e+03
6.962554660529343664e+02,1.041779557758655756e+03
6.962876869965477908e+02,1.041615994718616548e+03
6.963199079401611016e+02,1.041450964018026980e+03
6.963521288837744123e+02,1.041284674212072559e+03
6.963843498273878367e+02,1.041117333855939250e+03
6.964165707710011475e+02,1.040949151504815291e+03
6.964487917146144582e+02,1.040780335713886416e+03
6.964810126582278826e+02,1.040611095038338590e+03
6.965132336018411934e+02,1.040441638033359595e+03
6.965454545454545041e+02,1.040272173254135396e+03
6.965776754890679285e+02,1.040102909255852182e+03
6.966098964326812393e+02,1.039934054593697510e+03
6.966421173762945500e+02,1.039765817822857571e+03
6.966743383199079744e+02,1.039598407498518100e+03
6.967065592635212852e+02,1.039432032175866880e+03
6.967387802071345959e+02,1.039266900410090329e+03
6.967710011507480203e+02,1.039103220756374185e+03
6.968032220943613311e+02,1.038941201769906229e+03
6.968354430379746418e+02,1.038781052005872198e+03
6.968676639815880662e+02,1.038622980019458737e+03
6.968998849252013770e+02,1.038467194365852720e+03
6.969321058688146877e+02,1.038313903600241019e+03
6.969643268124281121e+02,1.038163316277809145e+03
6.969965477560414229e+02,1.038015640953745105e+03
6.970287686996547336e+02,1.037871037913339023e+03
6.970609896432681580e+02,1.037729400599722112e+03
6.970932105868814688e+02,1.037590530757126317e+03
6.971254315304947795e+02,1.037454230046372913e+03
6.971576524741082039e+02,1.037320300128282270e+03
6.971898734177215147e+02,1.037188542663676344e+03
6.972220943613348254e+02,1.037058759313375958e+03
6.972543153049482498e+02,1.036930751738202162e+03
6.972865362485615606e+02,1.036804321598976458e+03
6.973187571921748713e+02,1.036679270556520123e+03
6.973509781357882957e+02,1.036555400271653525e+03
6.973831990794016065e+02,1.036432512405198850e+03
6.974154200230149172e+02,1.036310408617976918e+03
6.974476409666283416e+02,1.036188890570808098e+03
6.974798619102416524e+02,1.036067759924514803e+03
6.975120828538549631e+02,1.035946818339917627e+03
6.975443037974683875e+02,1.035825867477837392e+03
6.975765247410816983e+02,1.035704708999095828e+03
6.976087456846950090e+02,1.035583144564513987e+03
6.976409666283084334e+02,1.035460975834912915e+03
6.976731875719217442e+02,1.035338004471113891e+03
6.977054085155350549e+02,1.035214032133938190e+03
6.977376294591484793e+02,1.035088860484206180e+03
6.977698504027617901e+02,1.034962291182740273e+03
6.978020713463751008e+02,1.034834125890361065e+03
6.978342922899885252e+02,1.034704166267889150e+03
6.978665132336018360e+02,1.034572213976146713e+03
6.978987341772151467e+02,1.034438070675954577e+03
6.979309551208285711e+02,1.034301538028133336e+03
6.979631760644418819e+02,1.034162417693504949e+03
6.979953970080551926e+02,1.034020511332890464e+03
6.980276179516686170e+02,1.033875660671381638e+03
6.980598388952819278e+02,1.033727954682563904e+03
6.980920598388952385e+02,1.033577576565251093e+03
6.981242807825086629e+02,1.033424709703740973e+03
6.981565017261219737e+02,1.033269537482332225e+03
6.981887226697352844e+02,1.033112243285322165e+03
6.982209436133487088e+02,1.032953010497008108e+03
6.982531645569620196e+02,1.032792022501688962e+03
6.982853855005753303e+02,1.032629462683662041e+03
6.983176064441887547e+02,1.032465514427224207e+03
6.983498273878020655e+02,1.032300361116674821e+03
6.983820483314153762e+02,1.032134186136311200e+03
6.984142692750288006e+02,1.031967172870430204e+03
6.984464902186421114e+02,1.031799504703330967e+03
6.984787111622554221e+02,1.031631365019311033e+03
6.985109321058688465e+02,1.031462937202667035e+03
6.985431530494821573e+02,1.031294404637698335e+03
6.985753739930954680e+02,1.031125950708702021e+03
6.986075949367088924e+02,1.030957758799975409e+03
6.986398158803222032e+02,1.030790012295817633e+03
6.986720368239355139e+02,1.030622894580525326e+03
6.987042577675489383e+02,1.030456589038396487e+03
6.987364787111622491e+02,1.030291279053729568e+03
6.987686996547755598e+02,1.030127148010822111e+03
6.988009205983889842e+02,1.029964379293971206e+03
6.988331415420022950e+02,1.029803156287475758e+03
