x_left,x_right,a,b,c,d
3.010000000000000000e+02,3.020000000000000000e+02,8.320000000000000000e+02,3.628783509278806108e+00,0.000000000000000000e+00,-6.287835092788061075e-01
3.020000000000000000e+02,3.030000000000000000e+02,8.350000000000000000e+02,1.742432981442387785e+00,-1.886350527836418323e+00,1.143917546394030760e+00
3.030000000000000000e+02,3.040000000000000000e+02,8.360000000000000000e+02,1.401484564951643197e+00,1.545402111345673735e+00,-9.468866762973168205e-01
3.040000000000000000e+02,3.050000000000000000e+02,8.380000000000000000e+02,1.651628758751040316e+00,-1.295257917546276616e+00,6.436291587952363003e-01
3.050000000000000000e+02,3.060000000000000000e+02,8.390000000000000000e+02,9.920004000441959846e-01,6.356295588394322849e-01,-6.276299588836282695e-01
3.060000000000000000e+02,3.070000000000000000e+02,8.400000000000000000e+02,3.803696410721759680e-01,-1.247260317811452524e+00,8.668906767392764445e-01
3.070000000000000000e+02,3.080000000000000000e+02,8.400000000000000000e+02,4.865210356671006986e-01,1.353411712406377143e+00,-8.399327480734778417e-01
3.080000000000000000e+02,3.090000000000000000e+02,8.410000000000000000e+02,6.735462162594215707e-01,-1.166386531814056271e+00,4.928403155546346448e-01
3.090000000000000000e+02,3.100000000000000000e+02,8.410000000000000000e+02,-1.807059007047869814e-01,3.121344148498476634e-01,-1.314285141450607097e-01
3.100000000000000000e+02,3.110000000000000000e+02,8.410000000000000000e+02,4.927738655972624393e-02,-8.215112758533442416e-02,3.287374102560817329e-02
3.110000000000000000e+02,3.120000000000000000e+02,8.410000000000000000e+02,-1.640364553411807411e-02,1.647009549149010266e-02,-6.644995737202855079e-05
3.120000000000000000e+02,3.130000000000000000e+02,8.410000000000000000e+02,1.633719557674604556e-02,1.627074561937401700e-02,-3.260794119612005909e-02
3.130000000000000000e+02,3.140000000000000000e+02,8.410000000000000000e+02,-4.894513677286612546e-02,-8.155307796898617068e-02,1.304982147418523031e-01
3.140000000000000000e+02,3.150000000000000000e+02,8.410000000000000000e+02,1.794433515147184355e-01,3.099415662565707108e-01,-4.893849177712891740e-01
3.150000000000000000e+02,3.160000000000000000e+02,8.410000000000000000e+02,-6.688282692860076928e-01,-1.158213187057296700e+00,8.270414563433045041e-01
3.160000000000000000e+02,3.170000000000000000e+02,8.400000000000000000e+02,-5.041302743706879141e-01,1.322911181972616701e+00,-8.187809076019286758e-01
3.170000000000000000e+02,3.180000000000000000e+02,8.400000000000000000e+02,-3.146506332312407617e-01,-1.133431540833169660e+00,4.480821740644105322e-01
3.180000000000000000e+02,3.190000000000000000e+02,8.390000000000000000e+02,-1.237267192704348595e+00,2.108149813600618538e-01,2.645221134428674126e-02
3.190000000000000000e+02,3.200000000000000000e+02,8.380000000000000000e+02,-7.362805959513647469e-01,2.901716153929220776e-01,-1.553891019441557608e+00
3.200000000000000000e+02,3.210000000000000000e+02,8.360000000000000000e+02,-4.817610423490192417e+00,-4.371501442931750248e+00,3.189111866421942665e+00
3.210000000000000000e+02,3.220000000000000000e+02,8.300000000000000000e+02,-3.993277710087863142e+00,5.195834156334078635e+00,-2.202556446246215049e+00
3.220000000000000000e+02,3.230000000000000000e+02,8.290000000000000000e+02,-2.092787361583522410e-01,-1.411835182404567401e+00,6.211139185629196424e-01
3.230000000000000000e+02,3.240000000000000000e+02,8.280000000000000000e+02,-1.169607345278728339e+00,4.515065732841913038e-01,-2.818992280054630206e-01
3.240000000000000000e+02,3.250000000000000000e+02,8.270000000000000000e+02,-1.112291882726734737e+00,-3.941911107321977581e-01,5.064829934589325511e-01
3.250000000000000000e+02,3.260000000000000000e+02,8.260000000000000000e+02,-3.812251238143327670e-01,1.125257869644599840e+00,-7.440327458302670172e-01
3.260000000000000000e+02,3.270000000000000000e+02,8.260000000000000000e+02,-3.628076220159339726e-01,-1.106840367846201323e+00,4.696479898621353510e-01
3.270000000000000000e+02,3.280000000000000000e+02,8.250000000000000000e+02,-1.167544388121930510e+00,3.021036017402046747e-01,-1.345592136182740539e-01
3.280000000000000000e+02,3.290000000000000000e+02,8.240000000000000000e+02,-9.670148254963434331e-01,-1.015740391146175148e-01,6.858886461096098952e-02
3.290000000000000000e+02,3.300000000000000000e+02,8.230000000000000000e+02,-9.643963098926955357e-01,1.041925547182654399e-01,-1.397962448255698764e-01
3.300000000000000000e+02,3.310000000000000000e+02,8.220000000000000000e+02,-1.175399934932874313e+00,-3.151961797584442171e-01,4.905961146913185300e-01
3.310000000000000000e+02,3.320000000000000000e+02,8.210000000000000000e+02,-3.340039503758070460e-01,1.156592164315511484e+00,-8.225882139397043824e-01
3.320000000000000000e+02,3.330000000000000000e+02,8.210000000000000000e+02,-4.885842635638973919e-01,-1.311172477503601774e+00,7.997567410674991661e-01
3.330000000000000000e+02,3.340000000000000000e+02,8.200000000000000000e+02,-7.116589953686031089e-01,1.088097745698895613e+00,-3.764387503302923932e-01
3.340000000000000000e+02,3.350000000000000000e+02,8.200000000000000000e+02,3.352202450383108268e-01,-4.121850529198160806e-02,-2.940017397463292603e-01
3.350000000000000000e+02,3.360000000000000000e+02,8.200000000000000000e+02,-6.292219847846400871e-01,-9.232237245309693474e-01,5.524457093156095455e-01
3.360000000000000000e+02,3.370000000000000000e+02,8.190000000000000000e+02,-8.183323058997503674e-01,7.341134034158592891e-01,-9.157810975161089218e-01
3.370000000000000000e+02,3.380000000000000000e+02,8.180000000000000000e+02,-2.097448791616358665e+00,-2.013229889132467587e+00,1.110678680748826030e+00
3.380000000000000000e+02,3.390000000000000000e+02,8.150000000000000000e+02,-2.791872527634815526e+00,1.318806153114010726e+00,-5.269336254791953111e-01
3.390000000000000000e+02,3.400000000000000000e+02,8.130000000000000000e+02,-1.735061097844380118e+00,-2.619947233235754291e-01,-2.944178832044434205e-03
3.400000000000000000e+02,3.410000000000000000e+02,8.110000000000000000e+02,-2.267883080987664446e+00,-2.708272598197087322e-01,5.387103408073731226e-01
3.410000000000000000e+02,3.420000000000000000e+02,8.090000000000000000e+02,-1.193406578204962987e+00,1.345303762602410469e+00,-1.151897184397447482e+00
