x,y
5.770000000000000000e+02,1.062000000000000000e+03
5.770220440881763579e+02,1.062010045386786260e+03
5.770440881763527159e+02,1.062019932862262522e+03
5.770661322645290738e+02,1.062029504515118788e+03
5.770881763527054318e+02,1.062038602434044833e+03
5.771102204408817897e+02,1.062047068707730887e+03
5.771322645290581477e+02,1.062054745424866724e+03
5.771543086172345056e+02,1.062061474674142573e+03
5.771763527054108636e+02,1.062067098544248211e+03
5.771983967935872215e+02,1.062071459123873410e+03
5.772204408817635795e+02,1.062074398501708629e+03
5.772424849699398237e+02,1.062075758766443414e+03
5.772645290581161817e+02,1.062075382006768223e+03
5.772865731462925396e+02,1.062073110311372602e+03
5.773086172344688975e+02,1.062068785768946555e+03
5.773306613226452555e+02,1.062062250468180309e+03
5.773527054108216134e+02,1.062053346497763641e+03
5.773747494989979714e+02,1.062041915946386553e+03
5.773967935871743293e+02,1.062027800902739045e+03
5.774188376753506873e+02,1.062010843455511122e+03
5.774408817635270452e+02,1.061990885693392784e+03
5.774629258517034032e+02,1.061967769705073806e+03
5.774849699398797611e+02,1.061941337579244419e+03
5.775070140280561191e+02,1.061911431404594623e+03
5.775290581162324770e+02,1.061877893269813967e+03
5.775511022044088350e+02,1.061840565263592907e+03
5.775731462925851929e+02,1.061799289474621219e+03
5.775951903807615508e+02,1.061753907991588903e+03
5.776172344689379088e+02,1.061704262903185736e+03
5.776392785571142667e+02,1.061650196298102173e+03
5.776613226452906247e+02,1.061591550265027763e+03
5.776833667334669826e+02,1.061528166892652735e+03
5.777054108216433406e+02,1.061459888269666862e+03
5.777274549098195848e+02,1.061386556484760604e+03
5.777494989979959428e+02,1.061308013626623051e+03
5.777715430861723007e+02,1.061224101783944661e+03
5.777935871743486587e+02,1.061134663045415436e+03
5.778156312625250166e+02,1.061039539499725379e+03
5.778376753507013746e+02,1.060938573235564490e+03
5.778597194388777325e+02,1.060831606341622546e+03
5.778817635270540904e+02,1.060718480906589775e+03
5.779038076152304484e+02,1.060599039019155953e+03
5.779258517034068063e+02,1.060473122768011081e+03
5.779478957915831643e+02,1.060340574241845161e+03
5.779699398797595222e+02,1.060201235529348196e+03
5.779919839679358802e+02,1.060054948719210415e+03
5.780140280561122381e+02,1.059901577270309645e+03
5.780360721442885961e+02,1.059741262516275583e+03
5.780581162324649540e+02,1.059574340116153508e+03
5.780801603206413120e+02,1.059401149716428108e+03
5.781022044088176699e+02,1.059222030963584757e+03
5.781242484969940278e+02,1.059037323504108144e+03
5.781462925851703858e+02,1.058847366984483415e+03
5.781683366733467437e+02,1.058652501051195486e+03
5.781903807615231017e+02,1.058453065350729730e+03
5.782124248496993459e+02,1.058249399529572202e+03
5.782344689378757039e+02,1.058041843234205771e+03
5.782565130260520618e+02,1.057830736111116266e+03
5.782785571142284198e+02,1.057616417806789286e+03
5.783006012024047777e+02,1.057399227967709294e+03
5.783226452905811357e+02,1.057179506240361889e+03
5.783446893787574936e+02,1.056957592271231761e+03
5.783667334669338516e+02,1.056733825706804282e+03
5.783887775551102095e+02,1.056508546193564143e+03
5.784108216432865675e+02,1.056282093377996716e+03
5.784328657314629254e+02,1.056054806906586691e+03
5.784549098196392833e+02,1.055827026425819440e+03
5.784769539078156413e+02,1.055599091582179881e+03
5.784989979959919992e+02,1.055371342022152930e+03
5.785210420841683572e+02,1.055144117392223961e+03
5.785430861723447151e+02,1.054917757338878118e+03
5.785651302605210731e+02,1.054692601508599864e+03
5.785871743486974310e+02,1.054468989547874799e+03
5.786092184368737890e+02,1.054247261103187611e+03
5.786312625250501469e+02,1.054027755821023675e+03
5.786533066132265049e+02,1.053810813347867679e+03
5.786753507014027491e+02,1.053596773330206361e+03
5.786973947895791071e+02,1.053385975414521909e+03
5.787194388777554650e+02,1.053178759247300604e+03
5.787414829659318229e+02,1.052975464475028048e+03
5.787635270541081809e+02,1.052776430744188701e+03
5.787855711422845388e+02,1.052581997701267937e+03
5.788076152304608968e+02,1.052392504992750673e+03
5.788296593186372547e+02,1.052208292265121599e+03
5.788517034068136127e+02,1.052029699164866543e+03
5.788737474949899706e+02,1.051857065338470193e+03
5.788957915831663286e+02,1.051690730432417467e+03
5.789178356713426865e+02,1.051531034093193512e+03
5.789398797595190445e+02,1.051378315967283470e+03
5.789619238476954024e+02,1.051232915701172487e+03
5.789839679358717603e+02,1.051095172941345254e+03
5.790060120240481183e+02,1.050965425386107881e+03
5.790280561122244762e+02,1.050843820533750886e+03
5.790501002004008342e+02,1.050730158745891231e+03
5.790721442885771921e+02,1.050624203440894917e+03
5.790941883767535501e+02,1.050525718037128854e+03
5.791162324649299080e+02,1.050434465952959044e+03
5.791382765531062660e+02,1.050350210606751943e+03
5.791603206412825102e+02,1.050272715416874235e+03
5.791823647294588682e+02,1.050201743801691464e+03
5.792044088176352261e+02,1.050137059179570770e+03
5.792264529058115841e+02,1.050078424968878380e+03
5.792484969939879420e+02,1.050025604587980524e+03
5.792705410821643000e+02,1.049978361455243885e+03
5.792925851703406579e+02,1.049936458989034691e+03
5.793146292585170158e+02,1.049899660607718943e+03
5.793366733466933738e+02,1.049867729729664006e+03
5.793587174348697317e+02,1.049840429773235201e+03
5.793807615230460897e+02,1.049817524156799436e+03
5.794028056112224476e+02,1.049798776298723169e+03
5.794248496993988056e+02,1.049783949617372400e+03
5.794468937875751635e+02,1.049772807531114040e+03
5.794689378757515215e+02,1.049765113458314090e+03
5.794909819639278794e+02,1.049760630817339006e+03
5.795130260521042374e+02,1.049759123026555244e+03
5.795350701402805953e+02,1.049760353504329260e+03
5.795571142284569532e+02,1.049764085669027054e+03
5.795791583166333112e+02,1.049770082939015538e+03
5.796012024048096691e+02,1.049778108732660939e+03
5.796232464929860271e+02,1.049787926468329488e+03
5.796452905811622713e+02,1.049799299564387638e+03
5.796673346693386293e+02,1.049811991439201620e+03
5.796893787575149872e+02,1.049825765511138343e+03
5.797114228456913452e+02,1.049840385198563581e+03
5.797334669338677031e+02,1.049855613919844018e+03
5.797555110220440611e+02,1.049871215093346109e+03
5.797775551102204190e+02,1.049886952137436083e+03
5.797995991983967770e+02,1.049902588470480168e+03
5.798216432865731349e+02,1.049917887510845276e+03
5.798436873747494928e+02,1.049932612676897406e+03
5.798657314629258508e+02,1.049946527387003016e+03
5.798877755511022087e+02,1.049959395059528333e+03
5.799098196392785667e+02,1.049970979112840041e+03
5.799318637274549246e+02,1.049981042965304368e+03
5.799539078156312826e+02,1.049989350035287771e+03
5.799759519038076405e+02,1.049995663741156704e+03
5.799979959919839985e+02,1.049999747501276943e+03
5.800200400801603564e+02,1.050001405940972063e+03
5.800420841683367144e+02,1.050000660475359837e+03
5.800641282565130723e+02,1.049997603560351536e+03
5.800861723446894302e+02,1.049992327693064681e+03
5.801082164328657882e+02,1.049984925370617702e+03
5.801302605210420325e+02,1.049975489090128349e+03
5.801523046092183904e+02,1.049964111348714141e+03
5.801743486973947483e+02,1.049950884643493509e+03
5.801963927855711063e+02,1.049935901471583747e+03
5.802184368737474642e+02,1.049919254330103286e+03
5.802404809619238222e+02,1.049901035716169645e+03
5.802625250501001801e+02,1.049881338126901028e+03
5.802845691382765381e+02,1.049860254059415183e+03
5.803066132264528960e+02,1.049837876010829859e+03
5.803286573146292540e+02,1.049814296478263032e+03
5.803507014028056119e+02,1.049789607958832676e+03
5.803727454909819699e+02,1.049763902949656767e+03
5.803947895791583278e+02,1.049737273947853055e+03
5.804168336673346857e+02,1.049709813450539514e+03
5.804388777555110437e+02,1.049681613954833665e+03
5.804609218436874016e+02,1.049652767957853939e+03
5.804829659318637596e+02,1.049623367956718084e+03
5.805050100200401175e+02,1.049593506448543849e+03
5.805270541082164755e+02,1.049563275930448981e+03
5.805490981963928334e+02,1.049532768899551684e+03
5.805711422845691914e+02,1.049502077852969705e+03
5.805931863727454356e+02,1.049471295287821249e+03
5.806152304609217936e+02,1.049440513701223836e+03
5.806372745490981515e+02,1.049409825590295441e+03
5.806593186372745095e+02,1.049379323452153812e+03
5.806813627254508674e+02,1.049349099783917154e+03
5.807034068136272253e+02,1.049319247082702759e+03
5.807254509018035833e+02,1.049289857845629285e+03
5.807474949899799412e+02,1.049261024569814481e+03
5.807695390781562992e+02,1.049232839752375867e+03
5.807915831663326571e+02,1.049205395890431419e+03
5.808136272545090151e+02,1.049178785481099339e+03
5.808356713426853730e+02,1.049153101021497150e+03
5.808577154308617310e+02,1.049128435008743054e+03
5.808797595190380889e+02,1.049104879939954799e+03
5.809018036072144469e+02,1.049082528312250133e+03
5.809238476953908048e+02,1.049061472622747260e+03
5.809458917835671627e+02,1.049041805368563928e+03
5.809679358717435207e+02,1.049023619046817885e+03
5.809899799599198786e+02,1.049007006154627106e+03
5.810120240480962366e+02,1.048992054817419557e+03
5.810340681362725945e+02,1.048978771211677895e+03
5.810561122244489525e+02,1.048967088733343189e+03
5.810781563126251967e+02,1.048956938248444203e+03
5.811002004008015547e+02,1.048948250623009244e+03
5.811222444889779126e+02,1.048940956723066847e+03
5.811442885771542706e+02,1.048934987414645775e+03
5.811663326653306285e+02,1.048930273563774335e+03
5.811883767535069865e+02,1.048926746036480608e+03
5.812104208416833444e+02,1.048924335698793584e+03
5.812324649298597024e+02,1.048922973416741570e+03
5.812545090180360603e+02,1.048922590056353329e+03
5.812765531062124182e+02,1.048923116483656941e+03
