x_left,x_right,a,b,c,d
5.120000000000000000e+02,5.130000000000000000e+02,1.040000000000000000e+03,9.019577141338799287e-01,0.000000000000000000e+00,9.804228586612005747e-02
5.130000000000000000e+02,5.140000000000000000e+02,1.041000000000000000e+03,1.196084571732240143e+00,2.941268575983601585e-01,-4.902114293306003012e-01
5.140000000000000000e+02,5.150000000000000000e+02,1.042000000000000000e+03,3.137039989371595006e-01,-1.176507430393440634e+00,8.628034314562812446e-01
5.150000000000000000e+02,5.160000000000000000e+02,1.042000000000000000e+03,5.490994325191216330e-01,1.411902863975402767e+00,-9.610022964945242885e-01
5.160000000000000000e+02,5.170000000000000000e+02,1.043000000000000000e+03,4.898982709863537455e-01,-1.471104025508170432e+00,9.812057545218166865e-01
5.170000000000000000e+02,5.180000000000000000e+02,1.043000000000000000e+03,4.913074835354626080e-01,1.472513238057279628e+00,-9.638207215927422356e-01
5.180000000000000000e+02,5.190000000000000000e+02,1.044000000000000000e+03,5.448717948717947124e-01,-1.418948926720947190e+00,8.740771318491523667e-01
5.190000000000000000e+02,5.200000000000000000e+02,1.044000000000000000e+03,3.292053369773576543e-01,1.203282468826510243e+00,-5.324878058038680084e-01
5.200000000000000000e+02,5.210000000000000000e+02,1.045000000000000000e+03,1.138306857218774448e+00,-3.941809485850937822e-01,-7.441259086336806661e-01
5.210000000000000000e+02,5.220000000000000000e+02,1.045000000000000000e+03,-1.882432765852454892e+00,-2.626558674486135558e+00,5.508991440338590451e+00
5.220000000000000000e+02,5.230000000000000000e+02,1.046000000000000000e+03,9.391424206191047119e+00,1.390041564652963579e+01,-8.291839852720682913e+00
5.230000000000000000e+02,5.240000000000000000e+02,1.061000000000000000e+03,1.231673594108827174e+01,-1.097510391163240939e+01,3.658367970544136316e+00
