x,y
6.330000000000000000e+02,1.134000000000000000e+03
6.330100200400801214e+02,1.134008387131300196e+03
6.330200400801603564e+02,1.134016757136123488e+03
6.330300601202404778e+02,1.134025092887993196e+03
6.330400801603205991e+02,1.134033377260431735e+03
6.330501002004008342e+02,1.134041593126962653e+03
6.330601202404809555e+02,1.134049723361109045e+03
6.330701402805610769e+02,1.134057750836393552e+03
6.330801603206413120e+02,1.134065658426340178e+03
6.330901803607214333e+02,1.134073429004471109e+03
6.331002004008015547e+02,1.134081045444309439e+03
6.331102204408817897e+02,1.134088490619378945e+03
6.331202404809619111e+02,1.134095747403202040e+03
6.331302605210420325e+02,1.134102798669302047e+03
6.331402805611222675e+02,1.134109627291202059e+03
6.331503006012023889e+02,1.134116216142424946e+03
6.331603206412825102e+02,1.134122548096494029e+03
6.331703406813627453e+02,1.134128606026932403e+03
6.331803607214428666e+02,1.134134372807262935e+03
6.331903807615231017e+02,1.134139831311008948e+03
6.332004008016032230e+02,1.134144964411693309e+03
6.332104208416833444e+02,1.134149754982839113e+03
6.332204408817635795e+02,1.134154185897969455e+03
6.332304609218437008e+02,1.134158240030607431e+03
6.332404809619238222e+02,1.134161900254276134e+03
6.332505010020040572e+02,1.134165149442498659e+03
6.332605210420841786e+02,1.134167970468798103e+03
6.332705410821643000e+02,1.134170346206697104e+03
6.332805611222445350e+02,1.134172259529719440e+03
6.332905811623246564e+02,1.134173693311387979e+03
6.333006012024047777e+02,1.134174630425225359e+03
6.333106212424850128e+02,1.134175053744755132e+03
6.333206412825651341e+02,1.134174946143500165e+03
6.333306613226452555e+02,1.134174290494983552e+03
6.333406813627254905e+02,1.134173069672728388e+03
6.333507014028056119e+02,1.134171266550257769e+03
6.333607214428857333e+02,1.134168864001094789e+03
6.333707414829659683e+02,1.134165844898762316e+03
6.333807615230460897e+02,1.134162192116783672e+03
6.333907815631262110e+02,1.134157888528681951e+03
6.334008016032064461e+02,1.134152917007980022e+03
6.334108216432865675e+02,1.134147260428201207e+03
6.334208416833666888e+02,1.134140901662868373e+03
6.334308617234469239e+02,1.134133823585504388e+03
6.334408817635270452e+02,1.134126009069632801e+03
6.334509018036071666e+02,1.134117440988776480e+03
6.334609218436874016e+02,1.134108102216458519e+03
6.334709418837675230e+02,1.134097975626202015e+03
6.334809619238476444e+02,1.134087044091529833e+03
6.334909819639278794e+02,1.134075290485965297e+03
6.335010020040080008e+02,1.134062697683031502e+03
6.335110220440881221e+02,1.134049248556251314e+03
6.335210420841683572e+02,1.134034925979147829e+03
6.335310621242484785e+02,1.134019712825244369e+03
6.335410821643287136e+02,1.134003591968063574e+03
