x,y
7.290000000000000000e+02,7.970000000000000000e+02
7.290060120240481183e+02,7.970120240480962366e+02
7.290120240480962366e+02,7.970240480961923595e+02
7.290180360721442412e+02,7.970360721442885961e+02
7.290240480961923595e+02,7.970480961923847190e+02
7.290300601202404778e+02,7.970601202404809555e+02
7.290360721442885961e+02,7.970721442885771921e+02
7.290420841683367144e+02,7.970841683366733150e+02
7.290480961923847190e+02,7.970961923847695516e+02
7.290541082164329509e+02,7.971082164328657882e+02
7.290601202404809555e+02,7.971202404809619111e+02
7.290661322645290738e+02,7.971322645290581477e+02
7.290721442885771921e+02,7.971442885771542706e+02
7.290781563126251967e+02,7.971563126252505072e+02
7.290841683366734287e+02,7.971683366733467437e+02
7.290901803607214333e+02,7.971803607214428666e+02
7.290961923847695516e+02,7.971923847695391032e+02
7.291022044088176699e+02,7.972044088176352261e+02
7.291082164328656745e+02,7.972164328657314627e+02
7.291142284569139065e+02,7.972284569138276993e+02
7.291202404809619111e+02,7.972404809619238222e+02
7.291262525050100294e+02,7.972525050100200588e+02
7.291322645290581477e+02,7.972645290581161817e+02
7.291382765531061523e+02,7.972765531062124182e+02
7.291442885771543843e+02,7.972885771543086548e+02
7.291503006012023889e+02,7.973006012024047777e+02
7.291563126252505072e+02,7.973126252505010143e+02
7.291623246492986254e+02,7.973246492985972509e+02
7.291683366733466301e+02,7.973366733466933738e+02
7.291743486973948620e+02,7.973486973947896104e+02
7.291803607214428666e+02,7.973607214428857333e+02
7.291863727454909849e+02,7.973727454909819699e+02
7.291923847695391032e+02,7.973847695390782064e+02
7.291983967935871078e+02,7.973967935871743293e+02
7.292044088176353398e+02,7.974088176352705659e+02
7.292104208416833444e+02,7.974208416833666888e+02
7.292164328657314627e+02,7.974328657314629254e+02
7.292224448897795810e+02,7.974448897795591620e+02
7.292284569138275856e+02,7.974569138276552849e+02
7.292344689378758176e+02,7.974689378757515215e+02
7.292404809619238222e+02,7.974809619238476444e+02
7.292464929859719405e+02,7.974929859719438809e+02
7.292525050100200588e+02,7.975050100200401175e+02
7.292585170340680634e+02,7.975170340681362404e+02
7.292645290581162953e+02,7.975290581162324770e+02
7.292705410821643000e+02,7.975410821643287136e+02
7.292765531062124182e+02,7.975531062124248365e+02
7.292825651302605365e+02,7.975651302605210731e+02
